OBJECTID,SN_ID,WBenUse
276,01-144,StockWatering
277,01-144,Other
278,01-145,Other
279,01-145,StockWatering
280,01-166,Domestic
281,01-166,Other
282,01-167,Agricultural
283,01-167,Other
284,01-167,StockWatering
285,01-168,Domestic
286,01-168,StockWatering
287,01-173,Mining
288,01-175,Agricultural
289,01-180,Domestic
290,01-190,Mining
291,01-223,Agricultural
292,01-224,Agricultural
293,01-224,Domestic
294,01-224,StockWatering
295,01-227,Domestic
296,01-229,Other
297,01-229,StockWatering
298,01-230,Other
299,01-230,StockWatering
300,01-231,Other
301,01-231,StockWatering
302,01-232,StockWatering
303,01-232,Other
304,01-233,Other
305,01-233,StockWatering
306,01-234,Other
307,01-234,StockWatering
308,01-235,Other
309,01-235,StockWatering
310,01-236,StockWatering
311,01-236,Other
312,01-254,StockWatering
313,01-254,Other
314,01-256,StockWatering
315,01-256,Other
316,01-257,StockWatering
317,01-257,Other
318,01-258,StockWatering
319,01-258,Other
320,01-259,Other
321,01-259,StockWatering
322,01-260,StockWatering
323,01-260,Other
324,01-265,Other
325,01-266,Domestic
326,01-266,StockWatering
327,01-274,Domestic
328,01-274,StockWatering
329,01-283,Agricultural
330,01-283,Domestic
331,01-283,StockWatering
332,01-284,StockWatering
333,01-284,Agricultural
334,01-284,Domestic
335,01-285,Domestic
336,01-286,Mining
337,01-288,Agricultural
338,01-288,StockWatering
339,01-292,Agricultural
340,01-368,Domestic
341,01-449,Agricultural
342,01-449,StockWatering
343,01-509,StockWatering
344,01-520,Other
345,01-520,StockWatering
346,01-648,StockWatering
347,01-648,Other
348,01-649,StockWatering
349,01-649,Other
350,05-100,Agricultural
351,05-1000,Other
352,05-1001,Other
353,05-1002,Other
354,05-1003,Domestic
355,05-1003,StockWatering
356,05-1003,Agricultural
357,05-101,Municipal
358,05-1011,Other
359,05-1012,Other
360,05-1013,Other
361,05-1014,Agricultural
362,05-1014,Domestic
363,05-1015,Other
364,05-1015,Agricultural
365,05-1016,StockWatering
366,05-1017,Domestic
367,05-1017,StockWatering
368,05-1017,Agricultural
369,05-1018,Agricultural
370,05-1019,Other
371,05-102,Agricultural
372,05-1020,StockWatering
373,05-1020,Agricultural
374,05-1020,Domestic
375,05-1021,StockWatering
376,05-1021,Agricultural
377,05-1021,Domestic
378,05-1022,Other
379,05-1023,Other
380,05-1024,Agricultural
381,05-1024,Domestic
382,05-1025,Agricultural
383,05-1026,Agricultural
384,05-1027,Agricultural
385,05-1028,Domestic
386,05-1028,StockWatering
387,05-1028,Agricultural
388,05-1029,Other
389,05-103,Agricultural
390,05-1030,StockWatering
391,05-1030,Agricultural
392,05-1031,Agricultural
393,05-1031,Domestic
394,05-1032,Agricultural
395,05-1033,Domestic
396,05-1033,Agricultural
397,05-1034,Domestic
398,05-1034,Agricultural
399,05-1034,StockWatering
400,05-1035,Other
401,05-1036,StockWatering
402,05-1036,Domestic
403,05-1036,Agricultural
404,05-1037,Agricultural
405,05-1037,Domestic
406,05-1038,Other
407,05-1039,Domestic
408,05-1039,StockWatering
409,05-1039,Agricultural
410,05-104,Domestic
411,05-104,Other
412,05-1040,Domestic
413,05-1040,Agricultural
414,05-1040,StockWatering
415,05-1041,StockWatering
416,05-1041,Agricultural
417,05-1041,Domestic
418,05-1042,Domestic
419,05-1042,StockWatering
420,05-1042,Agricultural
421,05-1043,Domestic
422,05-1044,Agricultural
423,05-1045,StockWatering
